,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,lnac_x,lnac_y,lnac_z,mag_x,mag_y,mag_z,press_x,loc_latitude,loc_longitude,loc_height,loc_velocity,loc_direction,loc_horizontal,loc_vertical,labelTable,labelCycling,labelWalking,labelSitting,labelJogging
2023-06-09 14:26:22.678575292,-0.11563353881573335,0.19170933838133333,9.887197467013332,6.11372202614865e-05,9.827222516959458e-05,-6.220548263206756e-05,0.00015386029406081104,0.0233673375474054,0.0798160976883919,23.414067345540534,4.065203692472973,-40.1771516541892,1013.85376,52.38628391,4.887714254,3.803440034,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:23.428575292,-0.11522638549706668,0.1937490966786667,9.887486865266666,-3.236545869968002e-05,7.984543842213335e-05,0.00011782644625266665,0.0005408987548773334,0.023465956199026663,0.07919675481245332,23.50698822013333,4.208802185013334,-40.250451659733336,1013.855133,52.38628391,4.887714254,3.7796288579999997,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:24.178575292,-0.11497490845386668,0.19257952881466667,9.887981835973331,-0.00010228215485142668,9.497246390391998e-05,-0.0001500384261253733,0.0012191514071226664,0.02072204427361333,0.0808083487976,23.7358938592,4.3880448405333325,-40.04553873626667,1013.855133,52.38628391,4.887714254,3.755817682,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:24.928575292,-0.11514905981337838,0.19252194585405405,9.887830043472974,3.573382856720271e-05,8.719772998597302e-05,8.864434927648649e-05,0.0004860572088648652,0.019398270279982432,0.07946931039252703,23.75619702702703,4.406470530729728,-40.09766367297298,1013.855133,52.38628391,4.887714254,3.7526761295,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:25.678575292,-0.11552775878506667,0.19201470336533336,9.888508740266667,-0.0002935033796053333,-9.75081340192348e-05,-0.0001072356073572,5.7542814717733347e-05,0.018746918658506667,0.08014652974480001,23.647677917466673,4.298745981813333,-39.9826151528,1013.850098,52.38628391,4.887714254,3.749534577,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:26.428575292,-0.116272210692,0.19176123046933333,9.88595604856,0.0002365955920205333,-1.1524935242266638e-05,5.030306052573336e-05,-0.001726211350294667,0.01751559298249333,0.07787448105733333,23.617449748133332,4.300831807426667,-40.027932942666666,1013.850098,52.38624841,4.887707261,9.064968109,0.0,-1.0,12.90087814,12.90087814,1,0,0,0,0
2023-06-09 14:26:27.178575292,-0.1158570470024324,0.19199196686216213,9.88725960814865,0.00012216118253362157,-0.0001357483545491892,5.4415724422837845e-05,-0.002096485590017568,0.014318872811645946,0.07920699955648647,23.63928511324325,4.452505111662162,-40.401173359594594,1013.859634,52.38624841,4.887707261,9.064968143000002,0.0,-1.0,12.90087814,12.90087814,1,0,0,0,0
2023-06-09 14:26:27.928575292,-0.11571736450133335,0.192631420896,9.889460760466667,0.00014361807455199994,5.914545771146666e-05,-8.725965218400108e-07,-0.0010676032719529331,0.013702961575533329,0.081357277608,23.537763366933326,4.394840342119998,-40.35544148746667,1013.859634,52.38624841,4.887707261,9.064968177,0.0,-1.0,12.90087814,12.90087814,1,0,0,0,0
2023-06-09 14:26:28.678575292,-0.11515253906799998,0.19378701781733326,9.886311309773335,-2.6366414960133344e-05,4.710561596342666e-05,-3.0205945175199988e-05,-0.0007754147384000001,0.011854277369861329,0.07906688425586665,23.593319092133328,4.343106028213335,-40.24087361626667,1013.859634,52.38624841,4.887707261,9.064968177,0.0,-1.0,9.455196949,9.455196949,1,0,0,0,0
2023-06-09 14:26:29.428575292,-0.11660751342266673,0.19336389770533333,9.888183416693334,9.204682816456003e-05,-0.0001441126223492,-0.00019890941367680005,-0.0017354434949467994,0.011815008931650666,0.08080928435253333,23.686108398800002,4.318329213426667,-40.019110107333326,1013.859634,52.38624841,4.887707261,9.064968177,0.0,-1.0,7.598584243999999,7.598584243999999,1,0,0,0,0
