,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,lnac_x,lnac_y,lnac_z,mag_x,mag_y,mag_z,press_x,loc_latitude,loc_longitude,loc_height,loc_velocity,loc_direction,loc_horizontal,loc_vertical,labelTable,labelCycling,labelWalking,labelSitting,labelJogging
2023-06-09 14:26:22.678575292,-0.11653266906359999,0.19194285278200002,9.888583584560001,-6.836814191714285e-05,9.893506942265308e-05,-0.00010119716883367347,-0.00024182506544693868,0.024049837386285716,0.08061810394838775,23.403322025102035,4.030152301367346,-40.15360368959184,1013.85376,52.38628391,4.887714254,3.803440034,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:23.178575292,-0.11493998107400001,0.19210751038,9.885026980640001,0.00016777441140682003,0.0001343765040238,-1.4131688536459995e-05,0.000823511437136,0.0222748697219,0.0777887024032,23.472258148199998,4.13416954044,-40.33302856459999,,,,,,,,,1,0,0,0,0
2023-06-09 14:26:23.678575292,-0.11481723633160001,0.194137289428,9.88841593322,-5.883873439054001e-05,3.38781788262e-05,0.00019798046907699995,0.0004525384945280001,0.02393888350824,0.08012851252488,23.505788268800003,4.245985946599999,-40.1543017574,1013.855133,,,,,,,,1,0,0,0,0
2023-06-09 14:26:24.178575292,-0.1144100830176,0.192796078498,9.887583663980001,-2.4664027157340002e-05,5.316021852007999e-05,-0.00018565925302066,0.0014833770325839997,0.021493794269759996,0.0808341662024,23.7239833064,4.3848306274599995,-39.9640447988,,52.38628391,4.887714254,3.755817682,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:24.678575292,-0.1166045196556,0.192335037236,9.8886105286,-0.00015825703277899997,0.00017850216704539998,-0.00015393687878519996,-0.0006865369387480006,0.019053677356620002,0.0803130272646,23.7450390618,4.398208541900001,-40.164482422,1013.855133,,,,,,,,1,0,0,0,0
2023-06-09 14:26:25.178575292,-0.11415139646061223,0.19252107893061224,9.887517373183673,8.406519789659188e-05,4.066219456085726e-05,0.00025074707096632657,0.0017869915162938778,0.01963779061062653,0.07926521337789796,23.769377572040817,4.408780078489796,-40.08604399959184,,,,,,,,,1,0,0,0,0
2023-06-09 14:26:25.678575292,-0.1160536651596,0.192278155514,9.888547659339999,-0.00026375586515399994,-8.871986997245226e-05,-0.00026880577204480005,-0.0003508473745034001,0.01946543755256,0.07985089841800001,23.6804823304,4.26724563594,-39.9495220946,1013.850098,52.38628391,4.887714254,3.749534577,-1.0,-1.0,6.488217187,6.488217187,1,0,0,0,0
2023-06-09 14:26:26.178575292,-0.115670462032,0.19238593139399995,9.88641309812,-3.9372199684400005e-05,-3.0653900462999994e-05,3.071751444619996e-05,-0.000577946652192,0.018492806949719998,0.07871382547639999,23.6018878176,4.32003768916,-40.013459472200005,1013.850098,,,,,,,,1,0,0,0,0
2023-06-09 14:26:26.678575292,-0.11597582702399997,0.19099981384400003,9.88673642578,0.00021776638346119998,-4.41758334568e-05,0.0001526894373514,-0.0015742087766700006,0.01643552295922,0.0784667923088,23.6153213504,4.312083358760001,-40.0528405764,,52.38624841,4.887707261,9.064968109,0.0,-1.0,12.90087814,12.90087814,1,0,0,0,0
2023-06-09 14:26:27.178575292,-0.11526031494360002,0.19090101927800002,9.88822433172,0.00011698320856975997,-0.00017198272282080006,6.453664042519999e-05,-0.0010171531294320003,0.013213853315676004,0.0800021074174,23.611376037200003,4.37061264036,-40.373787841799995,1013.859634,,,,,,,,1,0,0,0,0
2023-06-09 14:26:27.678575292,-0.11619816059591839,0.19367276561836735,9.888183335306122,9.385417026938777e-05,-6.6549545737551e-05,-8.643871382387753e-05,-0.002365065975964694,0.016296192633346942,0.07985865803387755,23.646680248163264,4.561792412489796,-40.415092623469384,,52.38624841,4.887707261,9.064968177,0.0,-1.0,12.90087814,12.90087814,1,0,0,0,0
2023-06-09 14:26:28.178575292,-0.11590996398799999,0.192394912716,9.888691360440001,0.00018726536654399998,0.00012501189947800002,9.939967648523999e-05,-0.001369285795278,0.01256225202818,0.080998683465,23.507664337599998,4.34079887384,-40.3463201906,1013.859634,,,,,,,,1,0,0,0,0
2023-06-09 14:26:28.678575292,-0.11570339355999999,0.19625688170799996,9.884718621780001,0.00024642111734600003,6.924764020293996e-05,-6.657544059060002e-05,-0.0011036195621100002,0.0138836558879,0.07761107568780001,23.5828286746,4.367276535019999,-40.2148931884,,52.38624841,4.887707261,9.064968177,0.0,-1.0,9.455196949,9.455196949,1,0,0,0,0
2023-06-09 14:26:29.178575292,-0.11673624573,0.19025735778599998,9.88960745538,-0.0002219645714164,-0.00010701241435979997,-7.67232896682e-05,-0.001861181350142,0.008764898056892,0.08175097453520001,23.615893250000003,4.29010795586,-40.1567480466,,,,,,,,,1,0,0,0,0
2023-06-09 14:26:29.678575292,-0.11520043944599999,0.19421213379000002,9.88741601254,7.406407387704003e-05,-0.00010774573542180002,-0.00020037430801920003,-0.0008014864377682002,0.012855375507476001,0.0804522026896,23.720419311799997,4.334768371580001,-40.0183343504,1013.859634,52.38624841,4.887707261,9.064968177,0.0,-1.0,7.5985842439999995,7.5985842439999995,1,0,0,0,0
2023-06-09 14:26:30.178575292,-0.11435912774489795,0.1930770656,9.886894179346939,0.0002421353604181694,-1.8887697007755085e-05,-0.00010715068162306123,-0.001049111310515102,0.010785558078387755,0.07939127457306122,23.683014382244895,4.2635607037959184,-39.99376818571429,,,,,,,,,1,0,0,0,0
